policy,trial,trial_success,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_40000.onnx,1,False,stand_before_pick_box,False,1.533639999999874,0.921935498714447,0.783443033695221,0.6222111071756118,0.26253730058670044,0.3406123220920563,0.7089080214500427,0.038673803210258484,0.0,0.7340425252914429
model_40000.onnx,2,False,stand_before_pick_box,False,1.5169699999998754,0.9353772401809692,0.7826094627380371,0.6785060139673075,0.27025213837623596,0.3475963771343231,0.7107606530189514,0.038673803210258484,0.0,0.7428094744682312
model_40000.onnx,3,False,stand_before_pick_box,False,1.5169699999998754,0.9384429454803467,0.8043094873428345,0.6579983306240593,0.26582515239715576,0.3430655896663666,0.7097928524017334,0.038673803210258484,0.0,0.7519491314888
model_40000.onnx,4,False,stand_before_pick_box,False,1.5669799999998713,0.9704964756965637,0.8298781514167786,0.6154269041291995,0.2632966935634613,0.3430320620536804,0.7093644142150879,0.038673803210258484,0.0,0.7804261445999146
model_40000.onnx,5,False,stand_before_pick_box,False,1.533639999999874,0.9279894828796387,0.7739424109458923,0.6403600188559435,0.2643069922924042,0.3437535762786865,0.7097513675689697,0.038673803210258484,0.0,0.7333828210830688
model_40000.onnx,6,False,stand_before_pick_box,False,1.533639999999874,0.9342740774154663,0.7890287041664124,0.6401732096810876,0.26555848121643066,0.3436497449874878,0.7096244692802429,0.038673803210258484,0.0,0.74372798204422
model_40000.onnx,7,False,stand_before_pick_box,False,1.5503099999998726,0.9361395239830017,0.8038633465766907,0.6002068989177515,0.25817352533340454,0.3379876911640167,0.7081624269485474,0.038673803210258484,0.0,0.7486096620559692
model_40000.onnx,8,False,stand_before_pick_box,False,1.5002999999998767,0.8963647484779358,0.7599973082542419,0.653089977886182,0.2630314528942108,0.3404257595539093,0.7092038989067078,0.038673803210258484,0.0,0.7096875309944153
model_40000.onnx,9,False,stand_before_pick_box,False,1.5002999999998767,0.9309826493263245,0.8015255928039551,0.6794813572184007,0.2662292718887329,0.3429226279258728,0.7098642587661743,0.038673803210258484,0.0,0.7469866871833801
model_40000.onnx,10,False,stand_before_pick_box,False,1.533639999999874,0.9154525399208069,0.7660242915153503,0.6293547072731389,0.2642613649368286,0.3427800238132477,0.7093685269355774,0.038673803210258484,0.0,0.724201500415802
