policy,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,0.2,1,approach,False,approach_box,True,4.5509100000003055,0.08982108533382416,0.08858863264322281,0.05748180097107675,0.05651533231139183,0.07245698571205139,0.22207412123680115,,,0.09733013063669205
model_101000.onnx,0.2,1,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.01632564142346382,0.009318018332123756,0.05697812887715502,0.06398718804121017,0.08104637265205383,0.23624758422374725,0.038673803210258484,0.0,0.031160036101937294
model_101000.onnx,0.2,1,manipulation,False,crouch_to_pick_box,True,1.7170099999996413,0.08723854273557663,0.08720017224550247,0.05540354273370542,0.08352183550596237,0.11538248509168625,0.33680760860443115,0.040746187008914435,8.76009750251256e-05,0.08472643792629242
model_101000.onnx,0.2,1,manipulation,False,stand_after_pick_box,True,2.283789999999204,0.08323419839143753,0.08182812482118607,0.04316203599731194,0.09476626664400101,0.11602256447076797,0.31352293491363525,0.048330213272358376,0.7027072319383082,0.09383416920900345
model_101000.onnx,0.2,1,manipulation,False,stand_before_place_box,True,1.3002599999995468,0.2203790545463562,0.2196568250656128,0.06415792919916687,0.09296482056379318,0.12014149874448776,0.37659189105033875,0.14756989709123156,0.7513558916734131,0.22901837527751923
model_101000.onnx,0.2,1,manipulation,False,crouch_to_place_box,True,1.7003399999994073,0.20528285205364227,0.20522890985012054,0.05326395030408413,0.09427639842033386,0.12867659330368042,0.38640379905700684,0.18827295425923365,0.011165172757281313,0.20277047157287598
model_101000.onnx,0.2,1,manipulation,False,stand_after_place_box,True,1.8170299999997592,0.04636380448937416,0.04440153017640114,0.04916322811093146,0.06444182246923447,0.08278629183769226,0.26123708486557007,0.1878357300896959,0.011165172757281313,0.055497635155916214
model_101000.onnx,0.4,2,approach,False,approach_box,True,4.567580000000309,0.09701520949602127,0.0958745926618576,0.055291800642301714,0.055106718093156815,0.07119297236204147,0.1754920482635498,,,0.10421375185251236
model_101000.onnx,0.4,2,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.022757910192012787,0.017422035336494446,0.054542211572869405,0.06167158484458923,0.08052127063274384,0.23531848192214966,0.038673803210258484,0.0,0.029143137857317924
model_101000.onnx,0.4,2,manipulation,False,crouch_to_pick_box,True,1.8336999999995918,0.10305704176425934,0.10304325819015503,0.04920696048692549,0.08218876272439957,0.11653068661689758,0.362748920917511,0.0407449800027783,5.646937723355902e-05,0.10354205220937729
model_101000.onnx,0.4,2,manipulation,False,stand_after_pick_box,True,2.2504499999992156,0.09149876236915588,0.08992870897054672,0.05568656182235837,0.09311103820800781,0.11417980492115021,0.3039776384830475,0.024128808080655564,0.7246258167681471,0.10523784160614014
model_101000.onnx,0.4,2,manipulation,False,stand_before_place_box,True,4.117489999998565,0.03306804224848747,0.029758356511592865,0.032149917812357785,0.08130157738924026,0.10162776708602905,0.2897988259792328,0.09828312044994718,0.6403192338968198,0.044857509434223175
model_101000.onnx,0.4,2,manipulation,False,crouch_to_place_box,True,1.7336800000009962,0.05996327102184296,0.05950019881129265,0.05598161516642043,0.08737396448850632,0.12123267352581024,0.3782642185688019,0.230252203032744,0.06746851090067155,0.0577833354473114
model_101000.onnx,0.4,2,manipulation,False,stand_after_place_box,True,1.6670000000011953,0.024589436128735542,0.019026264548301697,0.04863063620460838,0.05665174499154091,0.07821474224328995,0.24319323897361755,0.2298948307254027,0.06746851090067155,0.03728238120675087
model_101000.onnx,0.6,3,approach,False,approach_box,True,4.667600000000327,0.08149178326129913,0.07996021956205368,0.057452556412437225,0.06297291070222855,0.08165594935417175,0.20431220531463623,,,0.09543506056070328
