policy,trial,trial_success,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_40000.onnx,1,False,approach_box,False,1.666999999999863,2.9528045654296875,2.911663055419922,0.7172715570997336,0.2614957094192505,0.33764997124671936,0.7104373574256897,,,2.78159761428833
model_40000.onnx,2,False,approach_box,False,1.5836499999998699,2.9097766876220703,2.870173454284668,0.8217849930570654,0.23406744003295898,0.3022341728210449,0.7010129690170288,,,2.7515788078308105
model_40000.onnx,3,False,approach_box,False,1.6836699999998617,3.0096030235290527,2.972886323928833,0.7703102189673514,0.2879676818847656,0.37496405839920044,0.8206115961074829,,,2.8437576293945312
model_40000.onnx,4,False,approach_box,False,1.5836499999998699,2.9419498443603516,2.899789333343506,1.0333498244575592,0.2446001023054123,0.3011266887187958,0.6757333874702454,,,2.8040730953216553
model_40000.onnx,5,False,approach_box,False,1.717009999999859,2.970111846923828,2.9309184551239014,0.8818001523816219,0.2820383310317993,0.36332592368125916,0.7524007558822632,,,2.8037455081939697
model_40000.onnx,6,False,approach_box,False,1.400279999999885,2.8861584663391113,2.843470335006714,0.999256050002004,0.2499743103981018,0.3116949796676636,0.6705162525177002,,,2.726388692855835
model_40000.onnx,7,False,approach_box,False,1.5503099999998726,2.910454034805298,2.86940860748291,1.2423364607649663,0.2435922622680664,0.30146944522857666,0.6964814066886902,,,2.775398015975952
model_40000.onnx,8,False,approach_box,False,1.5169699999998754,2.999610662460327,2.959282398223877,0.7304234497684395,0.2695101797580719,0.33812928199768066,0.6913025379180908,,,2.831923246383667
model_40000.onnx,9,False,approach_box,False,1.533639999999874,2.9212594032287598,2.8767614364624023,1.135196845462952,0.25032222270965576,0.3033801019191742,0.6957867741584778,,,2.7798657417297363
model_40000.onnx,10,False,approach_box,False,1.666999999999863,2.9228339195251465,2.877906560897827,0.7297751673233459,0.2426626831293106,0.31661850214004517,0.6738010048866272,,,2.762061357498169
