policy,stage,metric,n,mean,std
model_28000.onnx,place,object_position_m,0,,
model_28000.onnx,place,object_orientation_rad,0,,
model_28000.onnx,place,mean_body_position_m,0,,
model_40000.onnx,approach,root_position_m,0,,
model_40000.onnx,approach,root_xy_m,0,,
model_40000.onnx,approach,root_orientation_rad,0,,
model_40000.onnx,approach,joint_mae_rad,0,,
model_40000.onnx,approach,joint_rmse_rad,0,,
model_40000.onnx,approach,joint_max_rad,0,,
model_40000.onnx,approach,object_position_m,0,,
model_40000.onnx,approach,object_orientation_rad,0,,
model_40000.onnx,approach,mean_body_position_m,0,,
model_40000.onnx,pick,root_position_m,0,,
model_40000.onnx,pick,root_xy_m,0,,
model_40000.onnx,pick,root_orientation_rad,0,,
model_40000.onnx,pick,joint_mae_rad,0,,
model_40000.onnx,pick,joint_rmse_rad,0,,
model_40000.onnx,pick,joint_max_rad,0,,
model_40000.onnx,pick,object_position_m,0,,
model_40000.onnx,pick,object_orientation_rad,0,,
model_40000.onnx,pick,mean_body_position_m,0,,
model_40000.onnx,place,root_position_m,0,,
model_40000.onnx,place,root_xy_m,0,,
model_40000.onnx,place,root_orientation_rad,0,,
model_40000.onnx,place,joint_mae_rad,0,,
model_40000.onnx,place,joint_rmse_rad,0,,
model_40000.onnx,place,joint_max_rad,0,,
model_40000.onnx,place,object_position_m,0,,
model_40000.onnx,place,object_orientation_rad,0,,
model_40000.onnx,place,mean_body_position_m,0,,
