policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_29000_uniform.onnx,0.8999999999999999,0.6,3,approach,False,approach_box,True,6.084550000000544,0.16683602333068848,0.16535773873329163,0.0374828539788723,0.07991094887256622,0.09674932062625885,0.2378186136484146,,,0.1824880838394165
model_29000_uniform.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_pick_box,True,1.1335599999996049,0.13648062944412231,0.13568270206451416,0.07868748158216476,0.07361999154090881,0.1007121279835701,0.26787614822387695,0.031173810362815857,0.0,0.13016079366207123
model_29000_uniform.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_pick_box,True,1.2669199999995584,0.24794422090053558,0.24030384421348572,0.19721944630146027,0.13926804065704346,0.1909344345331192,0.413418710231781,0.034928770822841834,0.001720732811386934,0.25175946950912476
model_29000_uniform.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_pick_box,False,4.450889999998449,0.7765018939971924,0.5727431178092957,0.6529830694198608,0.30445513129234314,0.3829216957092285,0.7076196670532227,0.8441057364206074,1.582142760621331,0.6544488072395325
model_29000_uniform.onnx,1.1,0.8,4,approach,False,approach_box,True,23.354670000004493,0.13359735906124115,0.1323666125535965,0.07269551604986191,0.09154947102069855,0.10820458084344864,0.27234166860580444,,,0.1433122307062149
model_29000_uniform.onnx,1.1,0.8,4,manipulation,False,stand_before_pick_box,True,1.0002000000007172,0.09437612444162369,0.0931234359741211,0.1176990196108818,0.07286202162504196,0.09937496483325958,0.26555120944976807,0.031173810362815857,0.0,0.08849526196718216
model_29000_uniform.onnx,1.1,0.8,4,manipulation,False,crouch_to_pick_box,True,1.8670400000013387,0.13267256319522858,0.13259033858776093,0.07395483553409576,0.09291452169418335,0.1319572627544403,0.3669343590736389,0.033320070043412815,0.0005253448112479127,0.1287309229373932
model_29000_uniform.onnx,1.1,0.8,4,manipulation,False,stand_after_pick_box,True,2.0504100000014702,0.11147267371416092,0.11101679503917694,0.05938241630792618,0.07098431885242462,0.09683329612016678,0.35510605573654175,0.04850295865755124,0.767265501216522,0.12425408512353897
model_29000_uniform.onnx,1.1,0.8,4,manipulation,False,stand_before_place_box,True,5.501099999995901,0.1933121681213379,0.19303514063358307,0.11221682280302048,0.07760805636644363,0.10039138793945312,0.32101327180862427,0.13891352794554537,0.8564981630609616,0.21401239931583405
model_29000_uniform.onnx,1.1,0.8,4,manipulation,False,crouch_to_place_box,True,9.068479999987176,0.19495359063148499,0.19342097640037537,0.051606398075819016,0.11423791199922562,0.14788848161697388,0.3502260148525238,0.09521608506450305,0.11052999891173619,0.1802995502948761
