policy,trial,stage,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,1,approach,0.08982108533382416,0.08858863264322281,0.05748180097107675,0.05651533231139183,0.07245698571205139,0.22207412123680115,,,0.09733013063669205
model_101000.onnx,1,pick,0.08723854273557663,0.08720017224550247,0.05540354273370542,0.08352183550596237,0.11538248509168625,0.33680760860443115,0.040746187008914435,8.76009750251256e-05,0.08472643792629242
model_101000.onnx,1,place,0.056301798671483994,0.05582953989505768,0.049135792434822384,0.08645083010196686,0.1208733320236206,0.37387412786483765,0.19334279831802334,0.06406057527125318,0.05733490362763405
model_101000.onnx,2,approach,0.09701520949602127,0.0958745926618576,0.055291800642301714,0.055106718093156815,0.07119297236204147,0.1754920482635498,,,0.10421375185251236
model_101000.onnx,2,pick,0.10305704176425934,0.10304325819015503,0.04920696048692549,0.08218876272439957,0.11653068661689758,0.362748920917511,0.0407449800027783,5.646937723355902e-05,0.10354205220937729
model_101000.onnx,2,place,0.06799478083848953,0.06719648838043213,0.050853959293541244,0.08795958757400513,0.12364037334918976,0.3879523277282715,0.23017619139087442,0.074602697444242,0.06899414956569672
model_101000.onnx,3,approach,0.08149178326129913,0.07996021956205368,0.057452556412437225,0.06297291070222855,0.08165594935417175,0.20431220531463623,,,0.09543506056070328
model_101000.onnx,3,pick,0.10872432589530945,0.1085105687379837,0.03780068384290813,0.08409983664751053,0.1197720617055893,0.3607821464538574,0.04074440896511078,0.0,0.11361517012119293
model_101000.onnx,3,place,0.06074538081884384,0.05989838019013405,0.05363655430230148,0.0869825929403305,0.11757463961839676,0.35020583868026733,0.20604485555355428,0.14980344909789584,0.06140916422009468
model_101000.onnx,4,approach,0.08875103294849396,0.08743030577898026,0.05860785608767593,0.05811774730682373,0.07783684134483337,0.23328766226768494,,,0.10581842809915543
model_101000.onnx,4,pick,0.09613800048828125,0.09613582491874695,0.048659486266041586,0.08316794782876968,0.11770828068256378,0.36518967151641846,0.040744893820332785,4.891808610614749e-05,0.09606551378965378
model_101000.onnx,4,place,0.06160644069314003,0.06083414703607559,0.05081393533312639,0.08632927387952805,0.11662431061267853,0.34829747676849365,0.19572956858404963,0.1070229447143053,0.06253478676080704
model_101000.onnx,5,approach,0.1306406557559967,0.12969715893268585,0.07556862705288467,0.05844510719180107,0.07703705132007599,0.190931499004364,,,0.13836674392223358
model_101000.onnx,5,pick,0.12842455506324768,0.1282113641500473,0.041605433315642225,0.08074934780597687,0.11438710242509842,0.3424554765224457,0.04074486224603018,3.191620021195997e-05,0.13252416253089905
model_101000.onnx,5,place,0.06023743003606796,0.059143781661987305,0.05566900550783873,0.08812026679515839,0.11896579712629318,0.35481467843055725,0.2289700858101786,0.16458428279702703,0.06241750717163086
model_101000.onnx,6,approach,0.02752297930419445,0.013561657629907131,0.04360107562427402,0.06902629882097244,0.08896265923976898,0.28208598494529724,,,0.0444478914141655
model_101000.onnx,6,pick,0.13284970819950104,0.1327134221792221,0.08761192793634519,0.08619014173746109,0.11024649441242218,0.310970664024353,0.04074440896511078,0.0,0.1279437094926834
model_101000.onnx,6,place,0.08591188490390778,0.08505751192569733,0.04925350167411978,0.08658204972743988,0.11560514569282532,0.34176304936408997,0.19192517255996194,0.128493157414753,0.08521465957164764
model_101000.onnx,7,approach,0.09387445449829102,0.09247203171253204,0.06325864340317067,0.05857810005545616,0.0754876434803009,0.16066280007362366,,,0.1031583696603775
model_101000.onnx,7,pick,0.10309436172246933,0.10300900042057037,0.03922250410807495,0.08469870686531067,0.12014556676149368,0.36835476756095886,0.04074440896511078,0.0,0.10706715285778046
model_101000.onnx,7,place,0.07998785376548767,0.07902781665325165,0.051138805865197826,0.08807934075593948,0.11843468248844147,0.3540193438529968,0.2104145342246736,0.10864303360480307,0.07995768636465073
model_101000.onnx,8,approach,0.09365721046924591,0.09214372932910919,0.061540990538486565,0.0646323636174202,0.07899583876132965,0.1788572520017624,,,0.10240431129932404
model_101000.onnx,8,pick,0.1183563619852066,0.11812666803598404,0.03404174413745044,0.08436966687440872,0.11654098331928253,0.34645578265190125,0.04074440896511078,0.0,0.12080732733011246
model_101000.onnx,8,place,0.08477932214736938,0.08376168459653854,0.051743857381907586,0.08863244950771332,0.11905723065137863,0.35606849193573,0.2142375819939087,0.13705496785373336,0.08489793539047241
model_101000.onnx,9,approach,0.1621222048997879,0.1615956723690033,0.05876009436811606,0.0604792982339859,0.07498195022344589,0.23454517126083374,,,0.1703847199678421
model_101000.onnx,9,pick,0.1396714150905609,0.13960693776607513,0.041814548082877705,0.08530046045780182,0.11503710597753525,0.34022995829582214,0.04074544579962769,2.639797798672048e-05,0.13987335562705994
model_101000.onnx,9,place,0.06540881842374802,0.06443987786769867,0.05201983017339225,0.08764610439538956,0.11936131864786148,0.3615335524082184,0.21468470559078465,0.14700077007550202,0.06680954992771149
model_101000.onnx,10,approach,0.13375192880630493,0.13331013917922974,0.06979762101874265,0.059535130858421326,0.07858151942491531,0.2440507560968399,,,0.1439327895641327
model_101000.onnx,10,pick,0.10188879072666168,0.1018887460231781,0.047861172548988064,0.08386510610580444,0.11513404548168182,0.3492598235607147,0.04074592985315013,4.6439057062723e-06,0.09674001485109329
model_101000.onnx,10,place,0.0670032799243927,0.06637819111347198,0.05000170405646692,0.08623740077018738,0.11683882772922516,0.35402700304985046,0.1871485098357135,0.08816911711124883,0.06606055796146393
model_29000_uniform.onnx,1,approach,0.040622226893901825,0.03379610553383827,0.027508357012784576,0.07820305973291397,0.09867087751626968,0.24901890754699707,,,0.06051784008741379
model_29000_uniform.onnx,1,pick,0.07882798463106155,0.07880830764770508,0.04068476737873748,0.09668166190385818,0.13362915813922882,0.3522927463054657,0.04075749414098551,0.00017984060512592255,0.07658127695322037
model_29000_uniform.onnx,1,place,0.17397409677505493,0.17334245145320892,0.045808325537906626,0.09988538175821304,0.1344718635082245,0.3599499464035034,0.09439291056720861,0.1700644427502222,0.1616481989622116
model_29000_uniform.onnx,9,approach,0.1178431287407875,0.11641711741685867,0.07612467241202912,0.08223860710859299,0.10332155972719193,0.2513185143470764,,,0.13338078558444977
model_29000_uniform.onnx,9,pick,0.11476369947195053,0.1140228658914566,0.05104779933656928,0.10403701663017273,0.14010672271251678,0.35175395011901855,0.04222030865821194,0.0017791373572922057,0.11079031974077225
model_29000_uniform.onnx,9,place,0.19001272320747375,0.1894826740026474,0.058087455164176946,0.10210952907800674,0.13598234951496124,0.36463668942451477,0.10366352001482024,0.16486881342507462,0.17824411392211914
model_29000_uniform.onnx,10,approach,0.13686658442020416,0.1364741176366806,0.07101671043527852,0.08352173864841461,0.10535410791635513,0.295897901058197,,,0.1478428989648819
