policy,trial,trial_success,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,1,True,approach_box,True,4.5509100000003055,0.08982108533382416,0.08858863264322281,0.05748180097107675,0.05651533231139183,0.07245698571205139,0.22207412123680115,,,0.09733013063669205
model_101000.onnx,1,True,stand_before_pick_box,True,1.0002000000001843,0.01632564142346382,0.009318018332123756,0.05697812887715502,0.06398718804121017,0.08104637265205383,0.23624758422374725,0.038673803210258484,0.0,0.031160036101937294
model_101000.onnx,1,True,crouch_to_pick_box,True,1.7170099999996413,0.08723854273557663,0.08720017224550247,0.05540354273370542,0.08352183550596237,0.11538248509168625,0.33680760860443115,0.040746187008914435,8.76009750251256e-05,0.08472643792629242
model_101000.onnx,1,True,stand_after_pick_box,True,2.283789999999204,0.08323419839143753,0.08182812482118607,0.04316203599731194,0.09476626664400101,0.11602256447076797,0.31352293491363525,0.048330213272358376,0.7027072319383082,0.09383416920900345
model_101000.onnx,1,True,stand_before_place_box,True,3.9341199999986287,0.03162451833486557,0.028167570009827614,0.036933441192399274,0.08369055390357971,0.10403723269701004,0.29862844944000244,0.10339258754778369,0.6340969486359161,0.045802753418684006
model_101000.onnx,1,True,crouch_to_place_box,True,1.7336800000006942,0.056301798671483994,0.05582953989505768,0.049135792434822384,0.08645083010196686,0.1208733320236206,0.37387412786483765,0.19334279831802334,0.06406057527125318,0.05733490362763405
model_101000.onnx,1,True,stand_after_place_box,True,1.6169900000011594,0.02586347796022892,0.020785273984074593,0.04623789937607436,0.05632121488451958,0.07738664746284485,0.24178683757781982,0.19291706470468975,0.06406057527125318,0.038153115659952164
model_101000.onnx,2,True,approach_box,True,4.567580000000309,0.09701520949602127,0.0958745926618576,0.055291800642301714,0.055106718093156815,0.07119297236204147,0.1754920482635498,,,0.10421375185251236
model_101000.onnx,2,True,stand_before_pick_box,True,1.0002000000001843,0.022757910192012787,0.017422035336494446,0.054542211572869405,0.06167158484458923,0.08052127063274384,0.23531848192214966,0.038673803210258484,0.0,0.029143137857317924
model_101000.onnx,2,True,crouch_to_pick_box,True,1.8336999999995918,0.10305704176425934,0.10304325819015503,0.04920696048692549,0.08218876272439957,0.11653068661689758,0.362748920917511,0.0407449800027783,5.646937723355902e-05,0.10354205220937729
model_101000.onnx,2,True,stand_after_pick_box,True,2.2504499999992156,0.09149876236915588,0.08992870897054672,0.05568656182235837,0.09311103820800781,0.11417980492115021,0.3039776384830475,0.024128808080655564,0.7246258167681471,0.10523784160614014
model_101000.onnx,2,True,stand_before_place_box,True,4.350869999998485,0.04387012496590614,0.041038092225790024,0.04424006186556301,0.08448624610900879,0.10622220486402512,0.3083253502845764,0.09289030282862808,0.6365978044449917,0.05625037103891373
model_101000.onnx,2,True,crouch_to_place_box,True,1.767020000001267,0.06799478083848953,0.06719648838043213,0.050853959293541244,0.08795958757400513,0.12364037334918976,0.3879523277282715,0.23017619139087442,0.074602697444242,0.06899414956569672
model_101000.onnx,2,True,stand_after_place_box,True,1.5836500000011355,0.02628609910607338,0.021143319085240364,0.04734613519158067,0.05554451048374176,0.07696037739515305,0.2422841489315033,0.2298187008840622,0.074602697444242,0.038452114909887314
model_101000.onnx,3,True,approach_box,True,4.667600000000327,0.08149178326129913,0.07996021956205368,0.057452556412437225,0.06297291070222855,0.08165594935417175,0.20431220531463623,,,0.09543506056070328
model_101000.onnx,3,True,stand_before_pick_box,True,1.0002000000001843,0.025752967223525047,0.02064857818186283,0.06591985935817188,0.060848385095596313,0.08195843547582626,0.2275601476430893,0.038673803210258484,0.0,0.0273456908762455
model_101000.onnx,3,True,crouch_to_pick_box,True,1.6836699999995908,0.10872432589530945,0.1085105687379837,0.03780068384290813,0.08409983664751053,0.1197720617055893,0.3607821464538574,0.04074440896511078,0.0,0.11361517012119293
model_101000.onnx,3,True,stand_after_pick_box,True,2.283789999999204,0.08810200542211533,0.08632524311542511,0.05287773315750674,0.09244801104068756,0.11534697562456131,0.31155940890312195,0.03692631455657044,0.7132571097353483,0.10526348650455475
model_101000.onnx,3,True,stand_before_place_box,True,5.017669999998946,0.024525396525859833,0.01998962089419365,0.036344956146768206,0.07560878992080688,0.0972449854016304,0.2799341678619385,0.11655427759508502,0.6310330017485792,0.037879087030887604
model_101000.onnx,3,True,crouch_to_place_box,True,1.783690000001279,0.06074538081884384,0.05989838019013405,0.05363655430230148,0.0869825929403305,0.11757463961839676,0.35020583868026733,0.20604485555355428,0.14980344909789584,0.06140916422009468
model_101000.onnx,3,True,stand_after_place_box,True,1.6836700000012073,0.02868536114692688,0.023972850292921066,0.05277499719573733,0.0556391216814518,0.07707247138023376,0.23568646609783173,0.2056454198199285,0.14980344909789584,0.03922548145055771
model_101000.onnx,4,True,approach_box,True,4.5509100000003055,0.08875103294849396,0.08743030577898026,0.05860785608767593,0.05811774730682373,0.07783684134483337,0.23328766226768494,,,0.10581842809915543
model_101000.onnx,4,True,stand_before_pick_box,True,1.0002000000001843,0.01753692701458931,0.009858383797109127,0.052709146474661885,0.06265806406736374,0.08043443411588669,0.23499923944473267,0.038673803210258484,0.0,0.027730414643883705
model_101000.onnx,4,True,crouch_to_pick_box,True,1.8170299999996065,0.09613800048828125,0.09613582491874695,0.048659486266041586,0.08316794782876968,0.11770828068256378,0.36518967151641846,0.040744893820332785,4.891808610614749e-05,0.09606551378965378
model_101000.onnx,4,True,stand_after_pick_box,True,2.2504499999992156,0.08641885966062546,0.08484029769897461,0.05236287083705609,0.0933920294046402,0.11421246081590652,0.30230259895324707,0.029756023530201476,0.7253093206714688,0.10015108436346054
model_101000.onnx,4,True,stand_before_place_box,True,5.000999999998916,0.02972468174993992,0.0258900485932827,0.03557037252119077,0.07932227104902267,0.10041632503271103,0.28269004821777344,0.1020794585954263,0.6391049784605509,0.0428827740252018
