policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,stand_before_pick_box,True,1.066879999999708,0.07086187601089478,0.06954706460237503,0.046989284455776215,0.05184761434793472,0.06774721294641495,0.2085096836090088,0.038673803210258484,0.0,0.08025866001844406
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,crouch_to_pick_box,True,1.9503899999993202,0.0665636882185936,0.06655871123075485,0.14047890901565552,0.09471292048692703,0.12414427101612091,0.2857527434825897,0.0407444253381762,7.039406963087199e-06,0.06005014106631279
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,stand_after_pick_box,True,1.933719999999326,0.030893951654434204,0.02898532710969448,0.12147495150566101,0.09048064798116684,0.12236805260181427,0.37177950143814087,0.08942821777725407,1.2792431818004555,0.05820632725954056
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,stand_before_place_box,True,3.7174099999992567,0.06829489767551422,0.0669812262058258,0.12067803740501404,0.09285703301429749,0.12020119279623032,0.35996538400650024,0.11967868639024981,1.3386754233847826,0.0928850919008255
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,crouch_to_place_box,True,2.2171100000015898,0.018900524824857712,0.01613413169980049,0.05597498640418053,0.09691392630338669,0.115660160779953,0.23512136936187744,0.0756489264997678,0.24347513404702362,0.034825775772333145
model_96000_bucket.onnx,1.7000000000000002,1.4,7,manipulation,False,stand_after_place_box,True,1.7170100000012312,0.057117000222206116,0.056234315037727356,0.055755771696567535,0.06533390283584595,0.07857895642518997,0.1617666631937027,0.10866540671028957,0.17299645637915007,0.06693703681230545
model_96000_bucket.onnx,1.9,1.6,8,approach,False,approach_box,True,11.485629999998661,0.06383779644966125,0.059874486178159714,0.09640099853277206,0.08026430755853653,0.11178260296583176,0.3013526499271393,,,0.06663909554481506
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,stand_before_pick_box,True,1.7003399999994073,0.06442257761955261,0.0639568418264389,0.0718255415558815,0.058748483657836914,0.07571607828140259,0.18231405317783356,0.03876336515119612,0.00034407542228846754,0.0802009180188179
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,crouch_to_pick_box,True,2.1170900000006494,0.1020670086145401,0.1020326316356659,0.19185283780097961,0.10267451405525208,0.13473361730575562,0.3598374128341675,0.04075886617182755,0.00020597712726375965,0.08645275980234146
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,stand_after_pick_box,True,1.9170500000013746,0.05995861068367958,0.05899015814065933,0.12375696003437042,0.09369955956935883,0.12417177855968475,0.38736122846603394,0.09863105907129927,1.3215961410418522,0.07413331419229507
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,stand_before_place_box,True,3.834100000002749,0.06136273592710495,0.059253059327602386,0.1151733323931694,0.09593876451253891,0.12659496068954468,0.4081675410270691,0.12944043312224332,1.3430791498317418,0.0836428850889206
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,crouch_to_place_box,True,1.9337200000013866,0.037553466856479645,0.03733476251363754,0.10850801318883896,0.09664236009120941,0.11686302721500397,0.25697630643844604,0.09087836002059053,0.020448062738455505,0.04874303191900253
model_96000_bucket.onnx,1.9,1.6,8,manipulation,False,stand_after_place_box,True,1.6670000000011953,0.05731790512800217,0.05635873228311539,0.05501330643892288,0.062412235885858536,0.07605833560228348,0.1581176221370697,0.09181008876184363,0.01836034372743888,0.06714686751365662
model_96000_bucket.onnx,2.0999999999999996,1.8,9,approach,False,approach_box,True,9.035139999999515,0.029876548796892166,0.023441528901457787,0.09215109050273895,0.06493812799453735,0.09667926281690598,0.26935023069381714,,,0.04937776178121567
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,stand_before_pick_box,True,1.5669799999994538,0.011714760214090347,0.003797681536525488,0.05538779869675636,0.05357406288385391,0.06491914391517639,0.1581621617078781,0.038673803210258484,0.0,0.026146411895751953
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,crouch_to_pick_box,True,1.767019999999384,0.06917184591293335,0.06897895038127899,0.127461239695549,0.092423215508461,0.11957862973213196,0.27061182260513306,0.04074454412141148,6.628320579824621e-06,0.071132592856884
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,stand_after_pick_box,True,1.9670599999996714,0.04018133133649826,0.038370877504348755,0.12727485597133636,0.09213829040527344,0.12358161062002182,0.3853345215320587,0.13107708137229987,1.3578673199472644,0.07033544033765793
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,stand_before_place_box,True,4.26752000000306,0.055253878235816956,0.05252834036946297,0.10251966863870621,0.09601102024316788,0.12396391481161118,0.39381104707717896,0.13335953621564928,1.3854697996216427,0.08380208164453506
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,crouch_to_place_box,True,2.0337400000014583,0.05729826167225838,0.056616172194480896,0.09622779488563538,0.09778466820716858,0.11950095742940903,0.22434920072555542,0.09184294112220008,0.33104983759341716,0.06500216573476791
model_96000_bucket.onnx,2.0999999999999996,1.8,9,manipulation,False,stand_after_place_box,True,1.6503300000011834,0.06594680994749069,0.06532090902328491,0.06238612160086632,0.06771913170814514,0.07976901531219482,0.163687601685524,0.14592317253112852,0.1522661384053466,0.07675677537918091
model_96000_bucket.onnx,2.3,2.0,10,approach,False,approach_box,True,8.084949999999846,0.04059591889381409,0.03565147519111633,0.09467486292123795,0.06877930462360382,0.1017054095864296,0.3018372654914856,,,0.04372778162360191
model_96000_bucket.onnx,2.3,2.0,10,manipulation,False,stand_before_pick_box,True,1.416949999999506,0.03717882186174393,0.03577977046370506,0.06381049007177353,0.05358872562646866,0.06835632026195526,0.1771434247493744,0.038673803210258484,0.0,0.05225430056452751
